situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Abandono de causa pelo Autor,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOAbandono de causa pelo Autor
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Acordo com terceiro que aproveitou o cliente,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOAcordo com terceiro que aproveitou o cliente
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Ausência de interesse processual,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOAusência de interesse processual
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Ausência de pressupostos processuais / condições da ação,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOAusência de pressupostos processuais / condições da ação
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Ausência injustificada do autor na audiência,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOAusência injustificada do autor na audiência
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Condenação afastada em acórdão,Decisão favorável à aérea (improcedência),EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOCondenação afastada em acórdão
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Condenação majorada em acordão,Condenação,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOCondenação majorada em acordão
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Condenação paga pela Corré,Condenação,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOCondenação paga pela Corré
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Desistência do autor,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITODesistência do autor
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Ilegitimidade Ativa,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIlegitimidade Ativa
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Ilegitimidade passiva,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIlegitimidade passiva
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Incompetência absoluta (valor da causa),Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIncompetência absoluta (valor da causa)
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Incompetência em razão da pessoa.,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIncompetência em razão da pessoa.
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Incompetência Territorial,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIncompetência Territorial
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Indeferimento da petição inicial,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOIndeferimento da petição inicial
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Inépcia da petição inicial,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOInépcia da petição inicial
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Necessidade de Perícia,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITONecessidade de Perícia
EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO,Perda do objeto,Extinção sem julgamento do mérito,EXTINÇÃO SEM RESOLUÇÃO DO MÉRITOPerda do objeto
