operacao_original,operacao_reclassificado
CGH - NAT / NAT - SSA - CGH,Doméstico
MAO - LDB,Doméstico
BPS - NVT,Doméstico
MCZ X GRU,Doméstico
VIX - GRU / GRU - CDG,Doméstico
BSB - VCP,Doméstico
REC - CGH / GRU - REC,Doméstico
UDI-GRU-SSA,Doméstico
PVH - BSB - CNF,Doméstico
GYN - CGH ,Doméstico
SSA - SDU - VIX,Doméstico
POA - CGH - BSB - PMW,Doméstico
GRU-PMW,Doméstico
POA - GRU - IOS,Doméstico
MVD - GRU / GRU - FOR,Doméstico
FLN - SDU ,Doméstico
VIX - GRU - MDZ,Doméstico
CGH - CXJ,Doméstico
CWB - CGH - CNF,Doméstico
FLN - BPS / BPS - FLN,Doméstico
BEL - ATM,Doméstico
JDO-FOR,Doméstico
SSA CGH,Doméstico
GTU - LIM ,Doméstico
BSB - SSA - MCZ,Doméstico
REC - ROM,Doméstico
CGH - SSA - NAT / NAT - SSA - CGH,Doméstico
PVH-MCZ,Doméstico
BPS - CGR,Doméstico
CNF-GRU-FOR,Doméstico
POA-CGH-REC,Doméstico
FLN-GRU-LIS-VCE,Doméstico
BSB - MAB,Doméstico
GYN - BSB - PMW,Doméstico
PVH-BSB-BSB-CWB,Doméstico
MCO - FOR / FOR - MCO ,Doméstico
POA/SDU - SDU/SSA,Doméstico
FLN - GRU / GRU - ZRH / ZRH - LUX,Doméstico
LUANDA - GRU - POA,Doméstico
SDU-CGH-SSA,Doméstico
SSA-GRU-PUJ,Doméstico
CAC - GRU - NAT,Doméstico
CGH - BSB - SSA,Doméstico
SSA - GRU - MGP,Doméstico
FOR X BSB,Doméstico
GIG - BEL,Doméstico
SSA - GRU - ORD - MCO,Doméstico
VIX-SDU-CGH,Doméstico
 CGR - GRU - JPA,Doméstico
VIX-SSA,Doméstico
CGH-BSB-MCO,Doméstico
MGF - GRU - NAT,Doméstico
GYN - GRU - MAD,Doméstico
REC/CGH - CGH/BSB - BSB/MIA,Doméstico
GRU-CNF-NAT,Doméstico
MGF - GRU - NAT - GIG / GIG - CGH - MGF,Doméstico
CGH-PNZ,Doméstico
NAT - SDU - IGU,Doméstico
BPS - RAO,Doméstico
BSB - SSA - NAT,Doméstico
SSA X POA ,Doméstico
NAT - CGH,Doméstico
POA - CGH - CNF,Doméstico
SSA/DSU,Doméstico
CWB - SDU - SSA,Doméstico
BSB - GIG,Doméstico
REC-GRU-GIG,Doméstico
ARU - GRU ,Doméstico
FLN - GRU - VIX,Doméstico
MIA-BSB-GIG,Doméstico
MACEIO X SÃO PAULO,Doméstico
VIX X GRU X AMS,Doméstico
CAC - GRU - REC,Doméstico
PNZ - GRU - MAO,Doméstico
SSA - GRU - FOR,Doméstico
PVH - BSB - FOR / FOR - GRU - BSB - PVH,Doméstico
BOS-CLT-MCO-BSB,Doméstico
BSB - SSA ,Doméstico
BVB-SDU,Doméstico
FOR - BSB - MOC,Doméstico
MCZ - CWB,Doméstico
MGF-CWB-CGH-POA,Doméstico
PFB-GRU/GRU-CGR,Doméstico
CGH - SDU - SSA,Doméstico
AUX-BSB-FOR,Doméstico
FLN-CGH-BSB-MAB,Doméstico
MAO-BSB-FLN,Doméstico
NAT/SSA - SSA/BSB - BSB/BEL,Doméstico
BSB-SSA-CGH-SJP,Doméstico
BEL - STM,Doméstico
VDC- SSA,Doméstico
VIX-CGB,Doméstico
JDN - JJD,Doméstico
CGH-DU-FLN,Doméstico
FLN X CGH,Doméstico
NAT -BSB,Doméstico
SALVADOR - SÃO PAULO (CGH),Doméstico
XAP - GRU - MCZ,Doméstico
SJP - GRU - FOR,Doméstico
GYN/GRU - GRU/MCZ,Doméstico
CGH - SDU / SDU - CGH,Doméstico
CKS - CNF,Doméstico
SSA X CGH X POA,Doméstico
REC - CGH - VIX,Doméstico
STM - MAO ,Doméstico
MAO - GRU - MCZ / MCZ - BSB - MAO,Doméstico
GRU - JFK,Doméstico
LDB - VCP,Doméstico
IOS - CGH,Doméstico
BSB-GRU-MIA-SFO,Doméstico
SJP - BSB - SSA - JPA,Doméstico
CGH - SDU,Doméstico
CWB - GRU - LIS - ORY,Doméstico
PAV - SSA ,Doméstico
FLN X GRU,Doméstico
BSB- GYN,Doméstico
SSA - GRU - MVD,Doméstico
BSB - SSA - JPA,Doméstico
TXF - CGH,Doméstico
FOZ DO IGUAÇU 07H10 - VITORIA 15H55,Doméstico
SSA - BSB  ,Doméstico
JDO - GRU - DOU,Doméstico
MCZ - SSA - VIX,Doméstico
MAO - GIG,Doméstico
PAV/SSA,Doméstico
GRU-LIM,Doméstico
BPS - GYN,Doméstico
FLN - BSB - MCZ,Doméstico
AEP - FLN,Doméstico
FLU/FOR,Doméstico
GYN - VIX,Doméstico
CGH  BSB - MAO,Doméstico
REC - GRU - PPB,Doméstico
IGU - GRU - MAO,Doméstico
MCO - BSB - SSA,Doméstico
ATL-MIA,Doméstico
SSA - VCP - SDU / SDU - SSA,Doméstico
YYZ - GRU,Doméstico
CGH - BSB -PVH ,Doméstico
CWB - GYN,Doméstico
GYN-SSA,Doméstico
POA - GIG,Doméstico
GYN-BPS,Doméstico
CGH - FEN / FEN - CGH,Doméstico
FEN - REC - CGH - VIX,Doméstico
CGH - BSB - MCO / MCO - BSB - CGH,Doméstico
CWB - GRU - SCL / SCL - GRU - 1124,Doméstico
SSA- GRU,Doméstico
MCZ-GIG,Doméstico
RAO-BSB,Doméstico
SDU - BSB - MAO - PVH,Doméstico
CGH/POA - POA/GRU,Doméstico
STM- MAO,Doméstico
FLN - CGH - BSB - PVH,Doméstico
VIX - GRU - CDG - LHR,Doméstico
FOR - GRU - GIG,Doméstico
FLN - GRU ,Doméstico
UDI - CGH - REC,Doméstico
POA - MCP,Doméstico
FEN - REC - BSB - VCP,Doméstico
SSA-GRU-SCL,Doméstico
JPA - SJP,Doméstico
IOS - GRU - IGU,Doméstico
VIX - SDU / SDU - FLN ,Doméstico
SSA - BSB - MCO,Doméstico
BPS - CNF - GRU - GYN,Doméstico
CGH - BSB / BSB - CUN,Doméstico
CGH -  SDU,Doméstico
GRU - BPS / BPS - GRU - IGU ,Doméstico
GYN - GRU - FOR,Doméstico
CWB - CGH - SJP,Doméstico
GIG - FOR - MAO - PVH,Doméstico
MAO - GRU - MCZ,Doméstico
NVT - VDC,Doméstico
SSA - IOS - GRU ,Doméstico
NVT - GRU / GRU - PUJ,Doméstico
REC-CNF,Doméstico
GYN- CGH,Doméstico
CFB-GRU,Doméstico
GRU-SCL,Doméstico
BSB-EZE,Doméstico
GRU - DOH,Doméstico
MAO-BEL,Doméstico
GRU - PNZ,Doméstico
PVH - BSB - EZE,Doméstico
POA - GRU - FOR,Doméstico
CUN - BSB - CGH,Doméstico
FOR - EZE / EZE - FOR,Doméstico
CGR-CAC,Doméstico
FOR X CGH,Doméstico
SSA-CGH-SDU,Doméstico
VIX x GRU x SSA,Doméstico
YUL - YTZ,Doméstico
POA/GRU - GRU/FOR,Doméstico
BSB - MIA ,Doméstico
BSB - SVP,Doméstico
POA - SDU / SDU - BSB,Doméstico
ASU - GRU,Doméstico
AUX - BSB - CGH,Doméstico
GRU-SSA-NAT,Doméstico
CGB - CGH - SDU - SSA,Doméstico
NVT - SDU - POA,Doméstico
CNF-SSA-JPA,Doméstico
CGR - SDU,Doméstico
POA - CGH  FOR,Doméstico
BSB - BPS,Doméstico
SSA - BSB - SDU,Doméstico
BSB-MIA,Doméstico
SDU GRU,Doméstico
Salvador ¿ BA -  Fortaleza,Doméstico
CNF-CGH-SSA,Doméstico
AJU - GRU - GIG,Doméstico
BVB/BSB - BSB/GRU - GRU/AEP,Doméstico
"GRU-BSB, BSB-MCO",Doméstico
BSB - SSA  VIX,Doméstico
MAO - RBR,Doméstico
CWB - POA / POA - CWB,Doméstico
GRU - BSB - PVH,Doméstico
GRU - PVH,Doméstico
RBR-MAO,Doméstico
CGH - BSB - FOR ,Doméstico
JDO-FOR-MAO-PVH,Doméstico
MIA - MCO,Doméstico
JDC - GRU - BSB,Doméstico
SFO - DFW - GRU - GYN,Doméstico
VDC  - GRU - IGU,Doméstico
FLN - SDU - VIX,Doméstico
FLN-FOR,Doméstico
MAB-BSB-GYN,Doméstico
UBA - CGH,Doméstico
BSB-NAT,Doméstico
GRU-NVT,Doméstico
NAT - GRU,Doméstico
CNF - JPA,Doméstico
CGR - CGH - SDU,Doméstico
SDU - VCP / VCP - SDU,Doméstico
BVB - BSB - CGH,Doméstico
GRU - REC - FEN / FEN - REC - CGH,Doméstico
BSB - SDU / SDU - BSB,Doméstico
CNF -GRU,Doméstico
MCO - BSB - GRU - MGF,Doméstico
MGF - GRU - SDU,Doméstico
SLZ - PMW,Doméstico
CNF - SDU - CWB,Doméstico
SSA-BSB,Doméstico
SSA-CGH-FLN,Doméstico
XAP - GRU - SSA - BSB - PVH,Doméstico
FOR - GRU - JJD,Doméstico
MSP - YYZ,Doméstico
REC-GRU,Doméstico
PET - GRU,Doméstico
VIX-SDU-SSA,Doméstico
GYN - REC,Doméstico
XAP - FOR,Doméstico
REC-GRU-SCL,Doméstico
FLN - SDU / SDU - FLN,Doméstico
SDU - CNF - GRU - XAP,Doméstico
COM - MIA - BSB,Doméstico
GRU-UIO,Doméstico
MAO - BSB / BSB - POA,Doméstico
LBD - GRU,Doméstico
GRU - GYN - BSB - PVH,Doméstico
JPA - SSA,Doméstico
CGH - FOR - ,Doméstico
SSA-CGR,Doméstico
REC - FOR - SSA - GYN,Doméstico
IOS - GRU - AEP,Doméstico
RBR - BSB - SDU,Doméstico
SSA - SDU / SDU - VIX,Doméstico
FLN - GIG / GIG - FLN,Doméstico
NVT - CGH / CGH - NVT,Doméstico
GIG - GRU   ,Doméstico
BSB - GRU - JPA,Doméstico
MAO - GIG - SSA,Doméstico
CGH - VIX - SSA,Doméstico
CGH - BSB / BSB - CGH,Doméstico
CGH/SDU - SDU/SSA,Doméstico
BSB - GRU - MAS,Doméstico
CWB - BSB - PVH,Doméstico
FEN - REC ,Doméstico
REC - SSA - GYN,Doméstico
CNF - CGH - SJP,Doméstico
MAO - VAB,Doméstico
MCZ - SSA - ,Doméstico
SSA - GIG / GIG - SSA,Doméstico
VCP - BSB,Doméstico
VCP-BSB,Doméstico
VGH-GYN,Doméstico
BSB-IOS,Doméstico
FLN - FEN,Doméstico
POA - BSB - BVB,Doméstico
PVH - GRU - LDB,Doméstico
STM - BEL ,Doméstico
FLN - BSB / BSB - MCO ,Doméstico
SSA - GIG,Doméstico
BSB - REC / REC - FEN,Doméstico
BSB - MAO,Doméstico
GYN - CGH  / CGH - POA - GYN,Doméstico
BRA - BSB - REC,Doméstico
CGB - SSA ,Doméstico
BSB - SDU,Doméstico
POA - BSB - THE,Doméstico
PVH - BSB - MCZ / MCZ - BSB - PVH,Doméstico
SSA - SDU -NVT,Doméstico
 POA - BSB,Doméstico
BSB-MCZ,Doméstico
GYN - NAT / NAT - GYN,Doméstico
GYN-MCZ,Doméstico
SDU-GRU-SSA,Doméstico
JPA - SSA / SSA - VCP,Doméstico
SSA-BSB-VCP,Doméstico
SJP - GRU / GRU - SJP,Doméstico
BPS-GRU-EWR,Doméstico
IOS - BSB - PVH,Doméstico
REC - CGH - CWB,Doméstico
GRU - CNF - JPA,Doméstico
GRU X MGF,Doméstico
GYN - GRU - JPA,Doméstico
IZA - GRU - FLN,Doméstico
IZA-CGH,Doméstico
CGH-REC-FEN,Doméstico
RAO - CGH - REC,Doméstico
REC - GRU - SCL,Doméstico
SSA-CGH-BSB-PTY,Doméstico
VCP - SSA,Doméstico
VDC-GRU,Doméstico
SDU - SSA / SSA - BPS,Doméstico
CGR-GRU-MIA,Doméstico
UDI-GRU-MGF,Doméstico
SSA - SDU - GRU,Doméstico
JPA - GRU - MGF,Doméstico
EWR - YYZ,Doméstico
GRU / IGI,Doméstico
POA - VIX,Doméstico
BPS-GRU-CGR,Doméstico
TUS-ATL-GRU-SSA,Doméstico
VIX - SDU - SSA,Doméstico
FLN - GRU - AMS -DUS,Doméstico
IOS - GRU / GRU - IOS,Doméstico
CWB - GRU - BOG  ,Doméstico
GRU - FOR / FOR - MCO,Doméstico
SDU - CGH - BSB - BVB,Doméstico
MGF - GRU - CWB / CWB - CGH - MGF,Doméstico
CGH-FLN,Doméstico
TXF X SSA,Doméstico
MCZ - IGU,Doméstico
SDU - SSA - CGH - CGR,Doméstico
MAO - BSB - REC /  REC - FOR - MAO,Doméstico
GRU - XAP ,Doméstico
VIX-CGH-CWB,Doméstico
SLZ - GRU ,Doméstico
GRU-FLN-GRU,Doméstico
SDU - CGH - GYN,Doméstico
ARU - GRU - MCZ,Doméstico
ASU-GRU,Doméstico
SSA - REC,Doméstico
FEN - PMW,Doméstico
GIG - IOS ,Doméstico
VCP - AJU / AJU - VCP,Doméstico
GYN - GRU - MAO,Doméstico
GRU - BSB - PMW,Doméstico
BSB - NAT / NAT - BSB,Doméstico
GIG - GRU - SSA,Doméstico
PMW - GRU - AJU ,Doméstico
SSA - BSB - CWB,Doméstico
CGR - CGH - MCZ / MCZ - CGH - CGR,Doméstico
SDU-CWB,Doméstico
AEP - GRU - SSA,Doméstico
POA - GRU - CDG - GVA,Doméstico
BSB-CUN,Doméstico
BPS - GRU - CAC,Doméstico
CWB - GRU - PUJ,Doméstico
GRU - BRC / BRC - GRU,Doméstico
MGF - GRU - SCL / SCL - GRU - CWB - MGF,Doméstico
PNZ - GRU  ,Doméstico
GOR - GIG,Doméstico
JFK - MIA - BSB,Doméstico
SSA - GRU / GRU - GYN,Doméstico
CGB - GRU - SSA - REC,Doméstico
CWB - GRU - AJU,Doméstico
MAO-GRU-FOR-CDG,Doméstico
CWB - GRU,Doméstico
CAC-GRU-SDU-NVT,Doméstico
FOR - SJP,Doméstico
NVT - SDU / SDU - NVT,Doméstico
POA-GRU-BSB,Doméstico
SSA X NAT,Doméstico
REC/GRU - GRU/AEP,Doméstico
PVH - BSB / BSB - THE,Doméstico
PVH-BSB-CGH,Doméstico
PVH - MAO - BSB - POA,Doméstico
RBR-BSB,Doméstico
PVH - BSB - SDU - VIX,Doméstico
MCZ - GRU - FLN,Doméstico
SSA- BPS / BPS - SSA,Doméstico
REC-CGH,Doméstico
BSB - GRU - JJD,Doméstico
CGH - SSA - BPS,Doméstico
RBR BSB,Doméstico
FLN - SDU / SDU - GRU / GRU - EZE,Doméstico
SSAX CGH,Doméstico
FLN - CGH / CGH - SDU,Doméstico
GRU SSA,Doméstico
SSA-BSB-CWB,Doméstico
IGU - CAC - GRU ,Doméstico
SDU - CGH - REC,Doméstico
VIX - GRU / GRU - REC / REC - FEN,Doméstico
MAB-BSB,Doméstico
REC - FOR - MCO / MCO - FOR - REC,Doméstico
CGH - SDU - AS,Doméstico
RBR - GRU,Doméstico
REC - GRU  ,Doméstico
SSA - GRU - LDB,Doméstico
FOR-GRU-CWB,Doméstico
CWB - CGH - SSA - SLZ,Doméstico
VIX - GRU - POA,Doméstico
FLN-GIG,Doméstico
RBR - BSB - FLN,Doméstico
FOR-BSB-SSA,Doméstico
PTY - GIG,Doméstico
FOR - BSB - SDU - CXJ,Doméstico
POA - REC,Doméstico
SLZ - BSB - GRU,Doméstico
VCP - BSB - NAT,Doméstico
CGH - ARU,Doméstico
CNX - BSB,Doméstico
SDU - BSB / BSB - PVH,Doméstico
PMW - CGH,Doméstico
SSA - VIX - GRU - UDI,Doméstico
SSA/SDU - SDU/SSA,Doméstico
BSB--SSA,Doméstico
GYN - SDU / SDU - GYN,Doméstico
GYN-BSB-FOR,Doméstico
BSB - AUX - PMW,Doméstico
JPA - BSB,Doméstico
FLN - GRU - BSB,Doméstico
MAO-RBR,Doméstico
PNZ-GRU,Doméstico
SJP - CGH,Doméstico
GRU-GEL,Doméstico
BEL-GRU,Doméstico
BSB - GRU - SCL,Doméstico
BVB-BSB-SSA,Doméstico
CAC - GRU / GRU - VIX ,Doméstico
Operação,Doméstico
PVH - BSB - GRU - XAP,Doméstico
VCP - SDU / GIG - VCP,Doméstico
GIG - GRU - MIA - MCO,Doméstico
AMS-CDG-GRU-BSB,Doméstico
SSA - GRU - FLN,Doméstico
BSB - MIA,Doméstico
GIG  - AMS ,Doméstico
THE - BSB,Doméstico
UDI - GRU   ,Doméstico
GRU - FOR - IGU,Doméstico
FLN - GRU - MGF,Doméstico
GRU - CUN,Doméstico
SDU-VCP,Doméstico
SJP - CGH - FOR,Doméstico
FLN - GRU - MOC,Doméstico
SSA - GRU - BSB,Doméstico
VDC - GRU - CNF - BSB - RBR,Doméstico
VDC-GRU-FLN,Doméstico
CGH BSB,Doméstico
SSA - GIG - IGU,Doméstico
FOR - GIG / GIG - FOR,Doméstico
THE - GRU - GIG,Doméstico
MIA-BSB,Doméstico
SSA - FOR / FOR - SSA,Doméstico
VIX-GRU-GIG-CDG,Doméstico
THE - GRU - MAD - OPO,Doméstico
BSB - AUX / AUX - BSB,Doméstico
BPS - CNF ,Doméstico
GRU - LIS,Doméstico
MVD - GRU,Doméstico
LDB-CGB,Doméstico
PVH - BSB - SDU - CWB,Doméstico
CAC - GRU - CGB,Doméstico
IGU-GRU-SSA,Doméstico
REC - CGB,Doméstico
GRU - BSB - MAO - PVH,Doméstico
PVH-BSB-GRU,Doméstico
GRU-BOG,Doméstico
NAT - BSB ,Doméstico
FLN - CGH - SDU,Doméstico
GRU - MAO - BVB / BVB - BSB - VCP,Doméstico
LDB - GRU - CGB,Doméstico
BRC X GRU X SSA,Doméstico
IOS - SSA,Doméstico
CGB - GRU,Doméstico
IOS - GYN,Doméstico
GRU - SSA - LIS,Doméstico
SSA - BSB - FOR,Doméstico
SSA - CGH  POA / POA - BSB - SSA,Doméstico
REC-GIG-IGU,Doméstico
DUB-SSA,Doméstico
FOR - REC - CGH,Doméstico
GYN - GRU - VIX,Doméstico
MAO - ERN,Doméstico
SJP - NAT,Doméstico
SSA - GRU - IGU,Doméstico
COM-BSB-SSA,Doméstico
MA - PV,Doméstico
MCP - BEL - GRU - NVT,Doméstico
NAT-BSB-PVH,Doméstico
PR - MA ,Doméstico
AEP X FLN,Doméstico
VIX - CGH - IGU,Doméstico
IGU - SDU - NAT,Doméstico
PVH BSB,Doméstico
GIG - SSA,Doméstico
CNF-GIG,Doméstico
FLN - CGH - MCZ,Doméstico
FOR X BSB X PVH,Doméstico
BSB/GRU - GRUCWB,Doméstico
SSA - GRU / GRU - MIA,Doméstico
POA-GRU-GYN,Doméstico
BPS-VIX,Doméstico
FOR - BSB,Doméstico
GYN - GRU - IOS / IOS - GRU - GYN,Doméstico
BSB-JJD,Doméstico
CWB - GRU - IOS,Doméstico
NVT - GRU / GRU - SSA,Doméstico
POA - GRU - UDI,Doméstico
CDG - SOF,Doméstico
FEN - BSB,Doméstico
BSB - IOS / IOS - BSB,Doméstico
GRU-CGR,Doméstico
FOR - BEL - MAO - PVH,Doméstico
BSB SSA,Doméstico
JPA-GRU-UDI,Doméstico
NVT - GRU - CNF,Doméstico
MCZ-VCP,Doméstico
SDU-CGH-IOS,Doméstico
CWB - CGH - VIX,Doméstico
FLN-CGH-CLV,Doméstico
XAP-GRU,Doméstico
BSB - AJU / AJU - BSB,Doméstico
BSB-SSA,Doméstico
FLN - GIG,Doméstico
GIG-GRU,Doméstico
IOS - GRU - CNF,Doméstico
MAD - GIG,Doméstico
IGU-CGH-SSA,Doméstico
VIX-CGH-FOR,Doméstico
CGH - CNF,Doméstico
VIX - GRU - JJD,Doméstico
JPA-GIG-IGU,Doméstico
MCZ - BSB - SJP,Doméstico
REC - GIG - BEL,Doméstico
PVH - BSB - JPA  / JPA - GIG - MAO - PVH,Doméstico
FLN - GRU,Doméstico
REC - GRU / GRU - LAD / LAD - LUO,Doméstico
SSA-BRA,Doméstico
MAO - GIG - FOR,Doméstico
IGU - CWB,Doméstico
REC-SSA-VIX,Doméstico
GRU - GIG - MAO - PVH,Doméstico
CAC - GRU - VIX / VIX - GRU - CAC,Doméstico
SLZ - SSA - VCP,Doméstico
STM - BSB,Doméstico
SDU - CNF ,Doméstico
GRU - BOG - MEX / MEX - SJO - BOG - GRU,Doméstico
NVT-GRU-MCZ,Doméstico
CNF/BSB - BSB/PVH,Doméstico
VIX - CGR,Doméstico
GIG - IOS,Doméstico
GRU X CGB,Doméstico
CGB-GRU-REC,Doméstico
POA-GRU,Doméstico
NVT - GIG - AMS / AMS - GRU - NVT,Doméstico
PVH - BSB - GIG / GIG - BSB - PVH ,Doméstico
SSA - CNF,Doméstico
GRU - MCZ,Doméstico
FOR - MIA - LGA ,Doméstico
GRU - SSA - REC - FEN / FEN - REC - GRU,Doméstico
SSA - SDU - FLN,Doméstico
BSB - RBR,Doméstico
FLN/GRU - GRU/SSA,Doméstico
VIX - SDU - BSB,Doméstico
GIG - EZE,Doméstico
CGH - SSA - NAT,Doméstico
RBR - BSB - FOR,Doméstico
SSA - IGU,Doméstico
VIX - GRU - SDU / SDU - VIX,Doméstico
FLN - SDU - CNF,Doméstico
REC - BSB - FLN,Doméstico
POA - PVH,Doméstico
BEL - PMW,Doméstico
BSB - CUN / CUN - BSB,Doméstico
BEL-BSB-GYN,Doméstico
GIG - MIA,Doméstico
TXF-CGH,Doméstico
MAO - GRU,Doméstico
CFN - SSA,Doméstico
PVH - BSB / BSB - NAT,Doméstico
REC-SSA,Doméstico
CGH - PPB,Doméstico
GIG-FOR,Doméstico
GRU - VVI / VVI - LIM,Doméstico
PVH - BSB - REC / REC - SSA - BSB - PVH,Doméstico
VIX - CGH - POA,Doméstico
BSB - GRU / GRU - CDG,Doméstico
BSB MCZ,Doméstico
CWB - GRU - MCZ,Doméstico
POA X CGH,Doméstico
CWB/GRU - GRU/BOG - BOG/PUJ,Doméstico
PVH - GRU - JDO,Doméstico
SSA - JFK,Doméstico
NVT - GRU - MGF,Doméstico
GRU-AEP-MDZ,Doméstico
MCZ - BSB - CNF,Doméstico
CGH - GIG - NAT / NAT - GIG - CGH,Doméstico
GRU - BSB - MCO / MCO - BSB - GRU,Doméstico
IGU-CGH-BSB,Doméstico
BPS - CAC,Doméstico
GRU-CWB,Doméstico
CWB - SSA,Doméstico
FLN - GRU - NAT,Doméstico
MIA - BNA,Doméstico
CGH-BSB-MIA,Doméstico
SDU - BSB - BVB,Doméstico
PVH - MAO - BSB - REC,Doméstico
PVH - BSB - SSA - AJU,Doméstico
LDB - SDU,Doméstico
SLZ - BSB,Doméstico
BSB - GRU  ,Doméstico
SSA - GIG - MAS - CDG,Doméstico
FOR - SSA - CWB,Doméstico
REC - BSB - VCP,Doméstico
VIX - SSA - JPA,Doméstico
CGH - REC / REC - CGH,Doméstico
NVT-SDU,Doméstico
PVH - MAO - FOR - REC / REC - BSB - PVH ,Doméstico
CPV - SSA,Doméstico
XAP - GRU - MAO,Doméstico
VIX - GYN,Doméstico
PBM - BEL,Doméstico
CGH- SDU,Doméstico
cwb - cgh,Doméstico
PFB - GRU,Doméstico
PNZ - GRU / GRU - PNZ,Doméstico
FLN - GRU   ,Doméstico
SSA - GRU - CGR,Doméstico
BEL - MCP,Doméstico
GRU - IOS / IOS - GRU,Doméstico
CGH/CGB,Doméstico
AEP-GRU-FOR,Doméstico
GRU-CWN,Doméstico
FLN/GRU - GRU/FOR,Doméstico
VIX - GRU - VVI,Doméstico
GYN-CGH-VIX,Doméstico
FOR-GRU/GRU-CDG,Doméstico
CGR - GRU - JPA / JPA - SSA - GRU - CGR,Doméstico
BSB - FOR ,Doméstico
GRU-GIG-SSA,Doméstico
LDB - GRU - MCZ,Doméstico
BSB-AEP,Doméstico
IGU - GIG - ,Doméstico
SSA - SDU - VCP,Doméstico
FLN-GRU-FOR,Doméstico
GRU - JJD,Doméstico
GRU/EZE - EZE/BRC E BRC/EZE - EZE/GRU,Doméstico
UDI - GRU - CWB,Doméstico
CGH-NVT,Doméstico
FEN - REC - GRU - PPB,Doméstico
AEP-GRU-UDI,Doméstico
PVH - BSB - NAT,Doméstico
CGR-GRU-XAP,Doméstico
REC- BSB,Doméstico
REF - FEN,Doméstico
BSB - FEN,Doméstico
CWB - BPS,Doméstico
FLN - GRU - BOG - SJO,Doméstico
VIX-CGH-POA,Doméstico
GYN - FOR,Doméstico
PVH-BSB-SDU,Doméstico
POA-BSB,Doméstico
GYN - CGH - BPS / BPS - GRU - GYN,Doméstico
SSA - BSB - MIA,Doméstico
TXF - SSA - CGH,Doméstico
REC FOR,Doméstico
CGH X PARANÁ,Doméstico
GRU-REC,Doméstico
SDU - GYN,Doméstico
REC -FEN,Doméstico
GIG - CWB,Doméstico
CGH - RAO ,Doméstico
GRU-PTY-SJO,Doméstico
JJD - SDU,Doméstico
BEL - BSB,Doméstico
MGF/GRU - GRU/REC,Doméstico
CGH-PVH,Doméstico
SSA - BSB - CWB / CWB - SSA,Doméstico
BEL - FOR,Doméstico
BSB - UDI,Doméstico
SSA - GYN - RAO,Doméstico
GRU-GIG-FOR,Doméstico
PTY - GRU - FLN,Doméstico
FOR-GRU-PUJ,Doméstico
SSA - GRU - CWB,Doméstico
GYN X CGH,Doméstico
CWB GRU,Doméstico
NVT - GRU - DFW,Doméstico
MVD - GRU - SSA,Doméstico
VDV - SSA,Doméstico
GRU - SCL / SCL - GRU,Doméstico
GRU X LDB,Doméstico
VCP - SDU - NVT,Doméstico
FLN - GRU - MAO - PVH,Doméstico
CNF-BSB,Doméstico
CNF - CKS,Doméstico
VIX-DSU,Doméstico
SSA - CGH / CH - SSA,Doméstico
MAO - FOR ,Doméstico
POA-SSA,Doméstico
CNF - FLN,Doméstico
PUJ - GRU / GRU - CWB,Doméstico
GRU - VVI,Doméstico
FOR - CDG,Doméstico
GIG-CNF,Doméstico
GRU - MAO - MCO / MCO - BSB - CGH,Doméstico
CNF/GRU/FOR,Doméstico
FEN - REC - BSB - MAO,Doméstico
REC - GRU - CGB,Doméstico
REC - CNF - CGB - PVH,Doméstico
cgh-ssa,Doméstico
SJP-GRU,Doméstico
SSA  - REC,Doméstico
CGH X BSB,Doméstico
FLN-SDU,Doméstico
GVA - CDG - GRU - SSA,Doméstico
JPA - GIG,Doméstico
GYN-PMW,Doméstico
FLN - SDU - SSA,Doméstico
SSA - FLN,Doméstico
NAT - CGH - IGU,Doméstico
NAT - GRU ,Doméstico
SSA - BSB / BSB - GIG / GIG - AEP,Doméstico
SSA - FLN ,Doméstico
SSA-AEP,Doméstico
PPB - GRU - IOS,Doméstico
OPS - GRU - NVT,Doméstico
SSA/SDU - SDU/VIX,Doméstico
GRU - MAO ,Doméstico
GRU - EZE,Doméstico
FOR - GIG - MIA,Doméstico
SSA - CGH - POA / POA - GRU - SSA,Doméstico
FLN - GRU - GYN,Doméstico
BSB - GRU - MOC,Doméstico
BEL - BSB - MAO,Doméstico
SSA - VIX,Doméstico
PPB - MCZ - MCZ - PPB,Doméstico
BSB - MCO,Doméstico
PPB - CGH,Doméstico
CWB - AEP,Doméstico
CAC X GRU,Doméstico
SJP-PMW,Doméstico
VIX - GRU - MCZ / MCZ - GRU - VIX,Doméstico
CGH - VIX ,Doméstico
CNF - GRU - FOR,Doméstico
PVH - MAO / MAO - GRU / GRU - REC / REC - FEN,Doméstico
BSB - POA,Doméstico
MAO - PVH - BSB - SSA,Doméstico
AJU-GIG,Doméstico
BSB - FLN,Doméstico
JDO - GRU / GRU - JDO,Doméstico
GIG-ASU,Doméstico
JDO-GRU-BSB-PMW,Doméstico
SDU X BSB,Doméstico
BRC - GRU,Doméstico
IAD-GRU,Doméstico
MAO - BSB - GYN,Doméstico
BSB - GRU - YYZ,Doméstico
PPB - CGH - SDU,Doméstico
GYN-GRU / GRU- FLN,Doméstico
FLN - GRU / GRU - BSB,Doméstico
EZE - GRU ,Doméstico
CWB-  GRU,Doméstico
BEL - BSB - SDU,Doméstico
GRU - FOR - COM,Doméstico
