operacao_original,operacao_reclassificado
FLN/EZE/EZE/FLN,Internacional
FLN/EZE/EZE/USH,Internacional
FLN/FEN,Doméstico
FLN/GIG,Doméstico
FLN/GIG/BEL/MCP,Doméstico
FLN/GIG/GIG/NAT,Doméstico
FLN/GIG/MIA,Internacional
FLN/GIG/NAT,Doméstico
FLN/GIG/REC,Doméstico
FLN/GIG/VIX,Doméstico
FLN/GRU,Doméstico
FLN/GRU/BSB,Doméstico
FLN/GRU/BSB/CGB,Doméstico
FLN/GRU/BSB/CZS,Doméstico
FLN/GRU/CNF,Doméstico
FLN/GRU/FOR,Doméstico
FLN/GRU/GRU/BSB/BSB/CGB,Doméstico
FLN/GRU/GRU/BSB/BSB/PVH,Doméstico
FLN/GRU/GRU/FLN,Doméstico
FLN/GRU/GRU/NAT/NAT/CGH/CGH/FLN,Doméstico
FLN/GRU/GRU/PUJ/PUJ/GRU/GRU/FLN,Internacional
FLN/GRU/GYN,Doméstico
FLN/GRU/IGU,Doméstico
FLN/GRU/MAO,Doméstico
FLN/GRU/MDZ/MDZ/GRU/FLN,Internacional
FLN/GRU/NAT,Doméstico
FLN/GRU/PPB,Doméstico
FLN/GRU/REC/FEN,Doméstico
FLN/GRU/SCL,Internacional
FLN/GRU/SCL/SCL/GRU/FLN,Internacional
FLN/GRU/SSA,Doméstico
FLN/GRU/UDI,Doméstico
FLN/GRU/VIX,Doméstico
FLN/GRU/XAP,Doméstico
FLN/GRU/ZRH,Internacional
FLN/PMW,Doméstico
FLN/POA,Doméstico
FLN/PVH,Doméstico
FLN/SDU,Doméstico
FLN/SDU SDU/CGB CGB/PVH,Doméstico
FLN/SDU/BSB/PVH,Doméstico
FLN/SDU/CNF,Doméstico
FLN/SSA,Doméstico
FLN/VIX,Doméstico
FLN/ZRH,Internacional
FLO/GRU,Internacional
FOF/EZE/FOR,Internacional
FOR - GIG,Doméstico
FOR - GRU,Doméstico
FOR - GRU,Doméstico
FOR - GRU - AMS,Internacional
FOR - MAO,Doméstico
FOR - NVT,Doméstico
FOR - REC - FEN / FEN - REC - GIG - FOR,Doméstico
FOR - SSA,Doméstico
FOR X SDU,Doméstico
FOR/AEP/AEP/GRU/FOR,Internacional
FOR/BEL,Doméstico
FOR/BEL/GRU,Doméstico
FOR/BEL/MAO,Doméstico
FOR/BSB,Doméstico
FOR/BSB/BRA/BRA/BSB/FOR,Doméstico
FOR/BSB/BSB/PVH,Doméstico
FOR/BSB/BSB/REC/REC/FEN,Doméstico
FOR/BSB/GYN,Doméstico
FOR/BSB/PVH,Doméstico
FOR/BSB/RBR,Doméstico
FOR/BSB/SJP,Doméstico
FOR/BSB/SSA,Doméstico
FOR/BSB/VCP,Doméstico
FOR/BSB/VIX,Doméstico
FOR/CDG/CDG/NCE,Internacional
FOR/CGH,Doméstico
FOR/CGH/CGH/BSB/BSB/PVH,Doméstico
